Airline,Flight,AirportFrom,AirportTo,DayOfWeek,Time,Length,Class
CO,1461,CLE,MCO,4,875,144,0
B6,248,LGB,OAK,4,837,76,0
UA,597,ORD,MSP,2,1205,93,0
WN,3763,SLC,DEN,7,600,90,1
WN,2989,MCO,PIT,4,1145,135,1
XE,2855,HSV,IAH,5,745,119,0
YV,1929,HNL,LIH,2,1240,37,0
WN,2888,PBI,ISP,3,820,160,1
WN,3930,SAN,AUS,3,950,160,1
OH,6454,CVG,DCA,3,477,88,1
AA,496,ORD,DCA,1,380,99,0
WN,2254,TUL,DAL,4,555,60,1
UA,551,ALB,ORD,4,516,150,0
HA,156,HNL,OGG,6,454,37,0
UA,239,LAX,SFO,7,642,95,1
UA,750,ORD,BWI,1,531,112,0
XE,5891,ORD,TYS,7,1138,90,1
DL,1557,DTW,MCI,5,1191,134,1
US,273,PHX,IAH,3,810,154,0
B6,683,BOS,DCA,6,660,101,0
FL,286,HOU,ATL,5,749,112,0
OO,4848,MOT,MSP,4,661,82,1
B6,1424,LGB,PDX,2,1085,141,0
9E,3653,IAH,ATL,4,766,132,1
US,1645,DCA,TPA,3,1170,144,0
US,122,ANC,PHX,5,113,327,1
WN,230,SMF,SAN,2,555,85,1
WN,1640,STL,LAX,5,560,250,1
CO,1186,ORD,EWR,4,1015,147,1
DL,2411,ATL,DFW,3,655,160,0
UA,846,IAD,SFO,7,495,362,0
MQ,3074,LAX,RNO,3,365,90,0
YV,2603,CLT,CVG,5,595,97,0
MQ,3935,MCI,ORD,3,540,90,1
MQ,3337,AEX,DFW,4,685,75,1
CO,686,IAH,MCO,1,630,130,0
DL,2263,JFK,LAX,5,1260,388,1
US,1105,ALB,CLT,4,885,134,1
US,977,PHL,PBI,2,735,159,1
OO,4624,FAT,SLC,7,385,102,0
US,1402,RSW,CLT,5,1155,113,0
OH,6744,DCA,CMH,3,537,92,0
OO,4691,MSP,CMH,4,935,108,0
OO,7789,SUN,SLC,4,794,66,1
WN,500,HOU,MSY,2,855,60,1
DL,2542,ATL,EWR,6,890,139,1
US,614,PHX,ATL,3,960,212,0
EV,7075,DTW,IAD,1,360,90,0
WN,829,LAS,DEN,5,1105,115,1
XE,2930,IAH,ATL,3,1050,118,1
9E,3752,ATL,HOU,4,445,156,0
MQ,4296,ORD,BWI,6,655,115,1
AA,1599,DAY,DFW,3,430,175,1
WN,2177,SMF,ONT,1,1200,75,0
EV,5067,ATL,MOB,1,657,87,0
OH,6489,CVG,DFW,2,990,165,1
UA,388,TPA,DEN,5,449,247,0
FL,597,ROC,ATL,3,1079,140,0
DL,1437,BWI,DTW,4,995,101,0
AA,1381,ATL,DFW,6,500,155,0
XE,5899,CLE,ORD,2,405,87,1
9E,4290,SBN,ATL,3,604,115,1
WN,457,MDW,AUS,3,655,170,1
UA,896,ORD,IAD,7,787,120,0
MQ,3212,DFW,LIT,6,690,70,0
XE,3038,IAH,BNA,1,1205,114,1
OO,4763,SLC,PSP,5,1198,106,1
AA,2248,DFW,DCA,3,746,165,1
XE,5940,ROC,ORD,5,793,121,0
AA,2103,IAD,MIA,3,360,160,0
EV,7096,ORD,BUF,4,1284,89,1
B6,713,JFK,SJU,4,1320,224,1
XE,2495,BHM,IAH,3,790,110,0
EV,5273,JAN,MEM,6,1010,63,1
AS,620,PDX,LAS,7,1055,128,0
DL,1739,DCA,ATL,4,1080,122,1
AA,1548,COS,DFW,4,670,105,1
OO,6342,LAX,SAN,4,1176,47,1
UA,700,SJU,IAD,6,815,240,0
CO,568,EWR,LAS,5,525,352,0
DL,2514,STL,DTW,3,400,100,0
OO,6652,SFO,MOD,6,580,40,0
WN,1012,SJC,BUR,6,595,60,0
CO,667,IAH,SEA,6,1045,275,1
AA,2445,DFW,LAX,4,855,210,1
AA,1940,ORD,MIA,1,1180,180,1
UA,315,DEN,ONT,5,707,145,0
OO,6762,SBA,DEN,1,880,142,0
B6,558,TPA,HPN,7,702,158,0
UA,450,DEN,MSP,3,946,121,0
OO,6534,DEN,IDA,6,685,100,1
UA,55,SFO,KOA,6,987,336,0
MQ,2858,DFW,DSM,4,945,110,1
MQ,2707,DFW,LRD,4,825,85,0
DL,379,BUF,ATL,6,817,136,0
DL,1097,ATL,HOU,4,1140,143,0
XE,2091,CVG,IAH,1,395,164,1
OO,4838,SLC,FAR,6,829,134,0
OO,6523,LAX,CLD,6,513,43,1
UA,218,SNA,DEN,5,1049,138,0
9E,3784,MEM,COU,3,1185,79,0
OO,6939,MFR,PDX,7,335,74,1
UA,452,DEN,IAD,3,826,198,0
EV,5474,ATL,EVV,7,895,84,0
DL,1724,ATL,BWI,5,965,110,1
WN,1859,SAN,SFO,3,395,100,1
9E,3660,MEM,PIT,2,855,112,0
WN,2310,DEN,SJC,7,530,170,1
UA,365,ORD,SNA,7,587,279,0
WN,2037,SAN,MDW,6,420,240,0
UA,595,OMA,DEN,5,1012,104,1
EV,5102,ATL,GPT,6,777,81,0
WN,218,LAS,SEA,7,1215,165,1
US,590,PHX,MCI,4,595,160,0
WN,327,MDW,IAD,2,1230,110,1
AA,2041,DCA,MIA,5,500,165,0
XE,2119,MCI,IAH,5,622,118,1
AA,1195,DFW,AUS,5,1280,55,0
WN,604,ABQ,BWI,5,795,220,1
UA,727,IAD,TPA,2,1324,145,0
FL,853,ATL,MCO,1,630,95,0
FL,1241,AVL,MCO,4,737,96,0
OH,6401,HTS,CVG,4,345,54,0
US,1468,TPA,DCA,5,805,124,0
XE,3087,IAH,TUL,6,893,81,1
MQ,4335,ORD,GRR,4,510,55,0
OO,6455,YUM,LAX,7,734,80,1
FL,815,BWI,BOS,6,1000,75,1
WN,1221,PIT,MDW,1,1140,110,1
MQ,3115,SJC,LAX,3,610,75,0
OO,6603,ONT,SFO,4,430,85,1
OO,6333,LAX,SAN,7,832,48,0
OO,6367,SFO,SMF,3,1196,46,1
OO,6699,DEN,ELP,7,1017,102,0
AS,184,FAI,ANC,1,720,64,0
AA,1073,DFW,DEN,4,825,120,0
OH,6382,DTW,HSV,4,520,122,0
AS,15,BOS,SEA,4,1095,376,0
9E,4366,ATL,ALB,4,1235,137,0
UA,608,MCI,ORD,2,457,91,0
XE,2386,IAH,GSO,2,610,140,0
XE,5926,CLE,ORD,4,801,87,0
WN,1378,STL,MCO,5,1015,135,1
9E,3958,SDF,ATL,4,1080,87,1
AA,102,HNL,DFW,3,1205,430,0
DL,2325,BWI,ATL,7,900,126,0
WN,529,SAN,OAK,3,675,85,1
WN,365,MHT,PHL,6,1030,100,1
WN,1628,MDW,BOS,5,775,140,1
UA,55,SFO,KOA,4,993,336,0
B6,50,FLL,JFK,1,1185,165,1
US,154,SAN,PHL,2,1330,290,0
WN,51,LIT,DAL,3,1045,70,1
EV,5592,CAE,ATL,1,690,70,0
XE,2814,IAH,LCH,3,1195,50,1
WN,411,LAS,SFO,1,840,95,1
WN,710,SJC,AUS,5,1100,200,1
HA,525,OGG,HNL,4,645,34,0
CO,88,EWR,IAH,7,1140,244,0
UA,756,DEN,IAH,7,605,150,0
CO,525,EWR,CLE,4,585,110,0
CO,678,SAT,IAH,2,925,64,1
EV,5567,CAE,ATL,3,444,76,0
OH,6418,CID,DTW,2,605,94,0
AA,1180,DFW,RIC,6,820,155,1
WN,3744,FLL,MDW,1,415,195,1
XE,2563,STL,IAH,7,520,127,0
DL,2298,SRQ,ATL,4,420,105,0
WN,2031,SEA,LAS,4,700,150,1
WN,3762,DAL,ELP,3,650,105,1
OO,7771,SGU,SLC,3,696,84,1
DL,2704,ATL,RDU,5,1370,81,1
WN,2003,PHX,OMA,6,945,155,1
WN,639,DEN,AMA,6,840,70,1
AA,1371,DFW,XNA,6,820,65,0
WN,313,MCO,BWI,3,830,125,0
AA,1140,DFW,ATL,3,475,125,0
UA,233,MCO,ORD,6,922,174,0
WN,322,BNA,HOU,7,565,130,0
EV,7096,IAD,DAY,3,1037,87,0
US,1823,CLT,PBI,7,1189,107,1
AA,4,LAX,JFK,2,745,335,1
WN,2631,TPA,LAS,3,975,310,0
AA,443,LGA,MIA,4,1100,205,0
US,1528,MSY,CLT,3,975,111,1
OO,6430,LAX,SAT,4,1110,161,1
UA,342,DEN,BOS,4,996,224,0
WN,313,CLE,MDW,2,1095,75,0
XE,5959,TYS,ORD,6,703,102,0
9E,4134,GRR,MEM,1,450,129,0
WN,669,SMF,LAS,4,360,80,1
DL,1414,OKC,ATL,4,945,124,0
DL,2460,ATL,ROC,4,770,126,0
OO,6297,ORD,ATW,6,715,50,1
US,1522,CLT,PHL,4,980,107,1
OO,7773,SGU,SLC,1,892,78,0
DL,2714,SEA,MSP,2,500,199,0
WN,259,MCI,MCO,7,1070,160,0
OO,6656,BFL,DEN,4,360,144,1
OH,6257,MSP,CVG,4,535,119,0
AA,1426,SAN,DFW,3,575,180,0
AA,1877,DFW,LAS,3,1360,190,0
XE,5917,ORD,IND,2,875,57,0
AS,67,SIT,JNU,4,1125,40,0
FL,633,BWI,DAY,3,625,91,0
WN,857,STL,LAS,1,1130,230,1
OO,6971,DEN,JAC,2,916,84,0
AA,1789,ICT,DFW,6,400,85,0
YV,2879,TUS,PHX,7,1150,59,0
EV,5145,TUL,ATL,2,653,117,1
EV,5442,MEM,MFE,3,826,131,0
US,1022,CLT,RIC,5,1220,68,0
OO,6639,BZN,DEN,3,1006,104,0
US,9,PHX,ORD,4,1175,194,1
CO,490,SLC,IAH,3,330,182,0
CO,223,SEA,IAH,3,365,240,1
YV,7280,BTV,ORD,3,1005,154,0
FL,572,PHX,MKE,2,830,194,0
AA,819,OMA,DFW,7,935,115,0
OO,7047,ASE,DEN,1,729,45,0
9E,4266,FSD,MSP,4,518,67,0
B6,702,SJU,JFK,3,550,238,0
EV,5546,ATL,GSP,7,825,58,0
US,5,SNA,PHX,4,600,75,0
OH,6745,DCA,IND,3,1210,124,0
OO,6363,SMF,LAX,4,1212,83,0
AS,880,OGG,OAK,6,745,282,0
XE,2375,GSO,IAH,7,385,182,1
EV,4999,BOS,DCA,4,575,109,0
9E,3775,DTW,TVC,3,525,68,1
HA,258,HNL,KOA,4,737,43,0
MQ,2873,DFW,MLU,5,550,65,1
US,1517,DCA,TPA,7,520,150,0
FL,145,DTW,ATL,4,1015,123,0
AA,402,DFW,CLT,4,805,135,0
OO,6901,CHS,ORD,4,773,142,1
WN,1100,SDF,MDW,2,1055,75,1
DL,3,SLC,JFK,5,510,279,1
DL,2923,MSP,MCO,2,425,203,1
YV,7251,SAT,IAD,2,1000,190,1
EV,7373,MEM,GPT,7,1180,76,0
DL,2311,ATL,DFW,3,740,150,0
XE,2047,OKC,IAH,7,875,79,1
UA,999,IAD,STT,7,520,233,1
YV,2748,MEM,PHX,4,450,223,0
DL,2285,BDL,ATL,4,926,165,1
AS,517,SNA,SEA,7,480,175,0
FL,1485,DTW,MCO,4,698,154,1
AA,1341,ORD,SFO,2,435,285,0
WN,1499,MDW,STL,5,530,70,1
US,968,SJU,CLT,4,940,226,0
OO,4863,FCA,SLC,5,440,101,0
XE,2176,IAH,ABQ,2,1070,138,0
AA,335,ORD,PBI,5,1060,185,0
DL,1133,ATL,CVG,2,1130,90,1
XE,2896,JAN,IAH,5,944,76,0
DL,2139,DCA,ATL,7,1020,125,0
B6,69,SYR,JFK,1,860,78,0
OO,6330,DEN,SAT,2,620,128,1
DL,1489,MKE,ATL,7,740,125,1
CO,1544,IAH,CLE,4,615,162,1
AA,1467,DFW,ELP,2,550,105,0
OH,6266,JFK,PHL,5,860,92,0
WN,479,DAL,AMA,3,1200,70,1
WN,1500,PHL,MCO,5,560,160,0
WN,1097,ISP,MCO,2,640,170,1
US,1469,PHL,ATL,5,970,149,0
YV,7258,ORD,PIT,6,1011,80,1
DL,1165,RDU,ATL,7,435,103,1
DL,1403,MSP,FLL,1,620,213,1
OO,6854,SFO,ACV,6,554,78,1
OH,6644,DSM,MSP,7,560,77,0
DL,2005,CVG,SLC,1,1140,237,1
YV,2898,PHX,DRO,3,1080,106,0
DL,2327,ATL,FLL,7,1147,118,1
MQ,3324,SGF,DFW,3,660,90,0
AA,1609,EWR,MIA,2,835,195,1
HA,187,KOA,HNL,6,881,42,0
US,874,DCA,CLT,7,419,95,0
US,1663,DCA,CLT,6,1035,92,0
B6,25,JFK,FLL,5,575,189,0
B6,467,BOS,RSW,4,685,213,1
CO,1010,IAH,EWR,4,1055,207,1
WN,59,SJC,PHX,4,670,110,1
HA,370,OGG,KOA,6,819,32,0
AA,1914,DFW,JAX,5,850,130,0
AA,1777,JFK,MCO,2,479,180,0
MQ,3227,DFW,TYR,6,1025,45,0
OH,6260,MSP,CVG,4,685,120,0
F9,404,LAX,DEN,5,660,134,0
OO,6419,DEN,BOI,7,1112,122,1
XE,3059,IAH,MOB,2,460,80,0
WN,736,MCO,MDW,3,420,175,1
MQ,4136,IND,ORD,3,1210,80,1
DL,1109,SLC,SFO,5,1200,131,1
CO,308,PDX,IAH,7,360,233,0
CO,1629,IAH,SNA,4,735,227,1
US,1529,CLT,DEN,3,1330,224,1
AS,61,SEA,JNU,1,470,154,1
AA,1308,LAX,AUS,4,765,175,0
DL,1280,ATL,JFK,3,585,147,1
MQ,3061,LAX,SAN,6,945,45,1
AA,2368,DFW,ORD,7,1090,140,0
WN,545,ONT,SMF,5,515,80,0
WN,2616,MKE,MCI,5,1055,100,0
OO,6522,LAX,PHX,6,761,79,0
FL,56,LAX,ATL,1,717,238,0
UA,492,SFO,STL,5,775,226,1
XE,2658,DFW,CLE,1,1160,147,1
AA,1358,ORD,BOS,1,1340,130,1
CO,1606,SAN,IAH,2,590,185,1
B6,593,HPN,MCO,4,670,163,1
FL,683,ATL,ICT,2,625,148,0
MQ,4662,LGA,ATL,6,1120,165,1
EV,5165,AGS,ATL,5,350,60,0
DL,1726,FLL,ATL,1,965,122,0
EV,5256,ATL,VPS,6,891,78,0
AS,558,SEA,PSP,2,780,154,0
EV,5081,XNA,ATL,6,752,110,1
F9,287,STL,DEN,4,1120,144,0
F9,178,TUS,DEN,1,641,107,1
B6,537,EWR,TPA,6,951,179,0
OH,6549,MFE,MEM,1,345,118,0
MQ,3621,MIA,ORF,5,665,135,0
WN,212,MDW,PIT,7,705,75,1
AA,1545,DFW,TUS,3,935,145,1
AA,349,FLL,DFW,4,950,195,0
B6,382,FLL,LGA,1,1220,161,0
UA,112,DEN,TPA,7,620,203,0
MQ,2946,LCH,DFW,3,435,80,0
9E,3726,DSM,DTW,6,617,113,1
DL,1061,LAX,MCO,5,625,276,1
AS,121,SEA,ANC,7,1425,223,1
B6,248,LGB,OAK,3,837,76,0
OO,6824,SBN,ORD,3,555,46,0
EV,5586,VPS,ATL,2,765,76,1
DL,1177,RDU,ATL,4,735,95,0
DL,1210,SLC,BOS,2,600,274,0
WN,3915,MDW,BOS,2,695,135,1
MQ,2929,DFW,BTR,3,945,80,0
US,1744,CLT,PHL,4,390,97,0
DL,1598,FLL,LGA,6,540,170,0
AS,627,LAS,BLI,5,825,164,0
OH,6293,JFK,ORF,5,495,102,0
FL,1081,STL,MCO,4,983,138,1
UA,922,ORD,IAD,6,360,108,1
DL,2342,ATL,EWR,4,1295,129,1
FL,926,ATL,MCI,6,545,129,0
EV,4980,ATL,TYS,7,1370,50,0
AS,55,BRW,ANC,4,671,110,0
US,710,LAX,PHL,4,515,303,1
AA,2337,EWR,ORD,3,770,155,0
WN,3143,HOU,SAN,4,585,210,0
US,996,CLT,PIT,2,590,87,0
WN,2269,MCO,BUF,6,450,155,0
WN,950,SAT,DAL,5,840,55,1
AA,1917,JFK,MCO,4,935,185,0
DL,2415,JFK,FLL,2,595,183,0
US,79,PHX,SEA,2,510,183,1
OO,7803,SLC,TWF,5,1013,64,1
9E,4144,MCI,MEM,4,710,91,0
OO,4606,SLC,JAC,3,820,64,0
WN,759,RDU,BNA,3,720,95,1
XE,2809,IAH,CRP,2,940,59,1
XE,2063,CLE,ORD,4,1150,84,1
AA,1396,RNO,DFW,6,710,190,0
MQ,2738,GSP,DFW,6,390,175,1
MQ,2974,ABI,DFW,5,500,55,0
UA,212,SFO,PDX,6,1344,111,0
WN,733,LAS,MCO,4,985,265,1
AA,1061,JFK,MIA,6,430,208,0
FL,1228,IND,SRQ,7,757,138,0
WN,801,MCO,ABQ,4,850,255,1
9E,3821,GSP,ATL,7,582,65,0
EV,5078,BTR,MEM,2,390,76,0
9E,4176,GRB,MSP,4,1024,76,1
US,1631,DCA,CLT,3,419,95,0
US,985,MSY,CLT,3,360,108,0
US,500,PHX,IND,5,1175,193,1
EV,5425,CRW,ATL,7,735,98,0
AS,458,SEA,LAX,1,540,154,1
US,1678,TPA,DCA,2,435,125,0
9E,3662,MSP,BNA,3,1145,138,0
WN,1003,ABQ,TUS,4,1135,70,1
AA,1517,SAT,DFW,6,820,70,1
US,1869,CLT,BNA,2,1340,78,0
AA,1143,DFW,OMA,2,525,105,0
DL,2022,MSP,BOS,2,1140,171,1
EV,5001,DTW,OMA,4,935,140,0
DL,2672,PHX,DTW,2,650,230,1
UA,587,OMA,ORD,5,880,91,1
B6,1295,BOS,PIT,4,1195,105,1
US,414,SFO,CLT,3,450,285,1
OO,3099,OMA,MKE,5,349,81,0
OO,4566,SLC,RDM,3,1304,93,0
OO,3049,MKE,PIT,4,695,85,1
MQ,3621,MIA,ORF,7,665,135,1
HA,11,SFO,HNL,6,520,335,0
OO,7799,COD,SLC,3,364,97,0
MQ,2791,DFW,GPT,3,535,90,1
DL,1809,RSW,MSP,2,455,224,0
MQ,4423,JFK,RDU,3,1190,115,1
DL,2033,CVG,LAX,1,1220,295,0
HA,108,HNL,KOA,1,302,41,0
DL,2710,DFW,ATL,7,345,132,0
EV,5475,CSG,ATL,1,1046,49,1
B6,1069,JFK,AUS,3,1230,261,1
MQ,2882,LBB,DFW,4,1205,65,0
OO,6361,TUL,DEN,1,738,106,1
MQ,2773,DFW,ABI,1,1130,50,0
XE,2877,EWR,MSP,4,1200,194,1
WN,3133,IND,TPA,5,820,140,0
WN,267,PHX,OMA,7,625,155,0
WN,1043,TPA,BWI,4,895,135,1
DL,2626,FLL,ATL,5,340,118,0
9E,3997,MLI,MEM,2,375,96,1
EV,5331,CLE,MEM,4,705,124,0
EV,5584,ATL,AVL,1,615,57,0
EV,5047,ATL,LEX,6,515,79,0
YV,1035,HNL,LIH,3,540,37,0
AA,348,ORD,LGA,7,1135,125,0
AA,644,DFW,CLT,7,915,140,1
WN,2105,MSY,MDW,2,1010,135,1
MQ,4007,ORD,CMH,2,940,75,0
DL,2084,TPA,CVG,3,805,133,1
WN,294,STL,TPA,5,765,135,1
B6,98,DEN,JFK,5,59,213,0
UA,101,ORD,LAX,2,425,276,1
CO,167,IAH,SEA,6,450,295,1
AA,1598,SEA,DFW,3,830,230,1
US,1787,MIA,CLT,6,690,124,0
EV,5444,ATL,MDT,1,1216,112,1
WN,767,DAL,MAF,4,810,70,1
DL,439,JFK,ATL,4,360,164,0
EV,5363,ATL,MEM,3,645,89,0
WN,1680,LAS,OAK,4,1080,90,1
WN,985,MCI,OKC,7,670,70,1
F9,846,SEA,DEN,7,651,150,0
WN,741,OKC,DAL,2,1280,50,1
MQ,3751,ORD,SLC,4,1125,215,1
CO,1889,IAH,SMF,7,900,254,0
MQ,4584,LGA,CLT,3,1185,130,1
DL,1858,ATL,RDU,3,453,83,0
AA,1263,MIA,IAH,4,455,175,0
AA,546,MSP,DFW,4,975,150,1
XE,2627,EWR,ATL,6,955,149,0
OO,6595,SLC,DEN,3,534,100,0
AA,560,ORD,DCA,1,1250,105,1
OH,6453,CVG,RIC,7,1135,91,1
EV,5204,TLH,ATL,3,902,70,0
OH,6416,STL,DTW,2,830,96,0
AA,1918,TPA,ORD,1,940,170,1
OH,6365,ATW,DTW,1,972,78,0
9E,3888,MEM,BNA,3,855,63,0
YV,1047,HNL,OGG,6,945,35,0
DL,1269,BNA,ATL,7,777,69,1
EV,5550,ATL,AGS,1,815,50,0
9E,4088,CVG,RIC,3,680,87,0
CO,234,ANC,SEA,2,1020,201,0
AA,258,LAS,JFK,4,485,300,0
DL,2833,DTW,SAN,4,515,309,1
AA,1871,DFW,LAS,5,660,180,0
AA,1208,TPA,ORD,3,505,170,1
WN,1605,SJC,BUR,5,1130,60,1
AA,1743,DFW,MCI,4,885,90,1
EV,5173,ATL,BHM,1,570,59,1
OH,6750,MSY,MSP,3,1080,171,1
9E,4132,MSP,FNT,2,600,94,1
DL,2572,STL,DTW,4,538,92,0
OO,7771,SLC,SGU,5,595,81,1
AS,325,SJC,SEA,4,745,127,0
AA,553,RSW,DFW,3,1145,175,0
US,1823,CLT,PBI,1,1205,111,0
OO,6556,PDX,SEA,5,700,54,1
UA,860,IAD,BOS,5,510,97,0
OO,6274,DEN,BFL,2,1100,152,0
UA,691,LGA,ORD,1,1081,163,1
OO,6275,SEA,GEG,3,800,58,0
US,1195,PHX,SAN,4,890,71,0
EV,5515,MOB,MEM,1,995,80,0
WN,1328,BOS,DEN,5,1080,295,1
9E,4037,BDL,JFK,6,780,75,1
B6,22,JFK,SYR,4,1365,69,1
WN,3659,MCO,BNA,4,660,115,1
OH,6655,OMA,MEM,3,360,114,1
AA,1588,SAT,DFW,1,890,70,0
EV,5013,STL,MEM,6,690,73,0
UA,537,BOS,SFO,4,500,413,1
DL,1236,MKE,DTW,3,978,72,0
FL,72,FLL,ATL,4,455,113,0
DL,2916,MSP,BZN,1,1290,154,0
B6,345,JFK,SRQ,3,477,183,0
EV,4947,ATL,CAE,4,905,65,1
CO,659,DCA,IAH,4,480,208,1
WN,1847,BNA,TPA,4,585,105,0
UA,478,SFO,PDX,4,638,116,1
FL,162,SJU,ATL,7,859,241,0
WN,1815,MCO,AUS,4,710,175,1
9E,4356,GTR,MEM,6,415,60,0
AA,1061,JFK,MIA,2,430,208,1
DL,2587,RSW,DTW,6,959,171,0
AA,1922,ABQ,DFW,3,425,105,0
US,1267,PHL,DFW,6,455,235,1
AA,1077,DFW,SFO,6,470,230,1
EV,5010,OAJ,ATL,7,1111,102,0
MQ,4674,LGA,CLE,2,1075,105,0
WN,1513,SFO,PHX,6,815,115,0
AA,1719,STL,LAX,7,830,250,1
OO,4602,SLC,FCA,5,860,110,0
AA,284,HNL,LAX,4,960,310,0
OO,6533,DEN,IDA,1,906,98,1
OO,6447,HSV,DEN,2,495,197,0
AA,75,IAD,LAX,1,1105,340,0
WN,3690,OAK,PDX,2,1215,100,1
XE,2302,IAH,BNA,4,533,105,1
9E,3934,TUL,MEM,7,380,83,1
WN,409,RDU,BNA,7,480,95,1
EV,5339,ATL,BTR,6,555,103,1
MQ,4194,AZO,ORD,3,1060,60,1
WN,780,RNO,LAX,5,615,85,1
AA,1258,LAX,STL,5,415,215,0
OO,4803,MEM,SLC,1,820,195,1
UA,602,ORD,DCA,5,418,111,0
AA,2334,DFW,ORD,1,630,135,0
B6,91,JFK,OAK,1,1170,401,1
AA,552,SFO,MIA,2,360,315,0
9E,3666,MSP,BIS,5,905,88,0
EV,5224,MOB,ATL,6,805,76,0
UA,390,IAH,DEN,7,1134,161,1
XE,2234,EWR,DAY,5,477,119,1
OO,6955,MKE,ORD,3,1166,49,1
AA,22,LAX,JFK,4,900,315,0
OH,6316,IND,RDU,2,1035,105,1
DL,2986,ATL,LGA,7,1300,135,0
9E,4184,MEM,PIT,3,1132,116,0
AA,1154,DFW,ICT,6,765,75,0
EV,5454,ECP,ATL,4,817,72,1
YV,2821,LGB,PHX,4,405,87,0
9E,4119,GRB,MSP,5,720,74,1
AA,2098,ORD,BOS,4,935,130,1
9E,4258,BOS,JFK,4,615,85,1
B6,294,LGB,SEA,2,665,161,0
9E,4095,MSP,SBN,3,1170,87,0
UA,588,DFW,IAD,7,1014,176,1
FL,367,LGA,ATL,3,958,159,1
OH,6616,BOS,DCA,3,995,110,1
OO,4835,IDA,SLC,7,1100,57,0
OH,6621,LEX,DTW,4,379,86,0
AS,470,SEA,LAX,5,910,157,1
DL,22,SEA,ATL,4,701,284,1
FL,1260,FLL,LEX,4,883,145,0
EV,5510,ILM,ATL,3,723,93,0
XE,2221,EWR,MEM,3,720,177,0
WN,3411,MCO,MCI,7,550,185,1
MQ,4394,JFK,BOS,3,839,71,0
AA,284,HNL,LAX,6,960,310,0
OO,6748,LAX,CLD,4,965,41,1
