Attr1,Attr2,Attr3,Attr4,Attr5,Attr6,Attr7,Attr8,Attr9,Attr10,Class
0.267018,0.892815,0.153473,0.204374,0.314839,0.228666,0.074653,0.781298,0.579335,0.248935,0
0.27345,0.820772,0.938811,0.302039,0.830444,0.522712,0.650626,0.660729,0.415187,0.077618,1
0.231666,0.717339,0.354906,0.576288,0.240411,0.24316,0.334829,0.601974,0.144481,0.610587,0
0.52078,0.567176,0.868409,0.445792,0.430284,0.713067,0.479706,0.302619,0.182493,0.096501,0
0.786835,0.121063,0.446658,0.062508,0.485944,0.654879,0.466208,0.254317,0.770032,0.741239,0
0.300827,0.978108,0.188844,0.268729,0.594313,0.984983,0.058946,0.95093,0.998454,0.512705,1
0.892755,0.957129,0.254718,0.521096,0.87269,0.705224,0.866225,0.584019,0.406942,0.01947,1
0.56158,0.834688,0.081131,0.241684,0.666012,0.708327,0.187361,0.683314,0.681492,0.64331,1
0.873017,0.334462,0.408108,0.203276,0.40934,0.99281,0.442071,0.857424,0.010391,0.192004,0
0.711834,0.897645,0.166905,0.511553,0.954412,0.6966,0.779921,0.52597,0.912946,0.432183,1
0.082092,0.764777,0.994686,0.195939,0.235537,0.681344,0.531084,0.892187,0.506887,0.036039,0
0.814143,0.922099,0.781374,0.385805,0.365737,0.39317,0.610228,0.835522,0.923402,0.448124,1
0.495637,0.84025,0.539106,0.257679,0.924601,0.350726,0.15836,0.718788,0.032757,0.579905,1
0.022099,0.394591,0.385943,0.161553,0.128128,0.722949,0.819908,0.049971,0.580853,0.328226,0
0.130777,0.672049,0.277187,0.908301,0.381252,0.374339,0.138873,0.19215,0.345038,0.64306,0
0.38388,0.48126,0.508381,0.441162,0.475815,0.944809,0.231625,0.724199,0.181609,0.19261,0
0.654097,0.913902,0.624141,0.017269,0.013918,0.406942,0.059217,0.655216,0.246809,0.175611,0
0.586206,0.743114,0.370461,0.637643,0.978563,0.787103,0.487758,0.005658,0.154402,0.262697,1
0.395421,0.041927,0.202954,0.528145,0.408215,0.32498,0.534639,0.59132,0.294012,0.642911,0
0.151515,0.793907,0.358863,0.403816,0.029752,0.404046,0.61085,0.76499,0.514494,0.372841,0
0.701945,0.022533,0.15051,0.229648,0.855919,0.415919,0.19843,0.847074,0.468768,0.434928,1
0.464878,0.78805,0.918974,0.149976,0.061617,0.825644,0.230526,0.936441,0.249048,0.876941,1
0.133088,0.356398,0.286697,0.687456,0.326685,0.328929,0.308043,0.791082,0.97059,0.328033,0
0.40617,0.017398,0.428882,0.373242,0.230738,0.706577,0.351706,0.002737,0.0502,0.267124,0
0.201593,0.192594,0.29627,0.053896,0.629135,0.011289,0.357458,0.947353,0.644412,0.404961,0
0.32961,0.85026,0.440302,0.982209,0.424185,0.224891,0.729828,0.284331,0.53301,0.586896,1
0.04777,0.138697,0.312372,0.616959,0.961884,0.720349,0.677029,0.628421,0.732322,0.485609,1
0.37105,0.19435,0.074122,0.234299,0.46222,0.901562,0.171431,0.86608,0.548335,0.929521,0
0.725261,0.098145,0.228575,0.699002,0.968772,0.049053,0.236087,0.736787,0.80062,0.147286,1
0.199268,0.835148,0.722186,0.928489,0.72433,0.165586,0.065552,0.76492,0.614187,0.253897,1
0.358831,0.914899,0.024504,0.104458,0.997728,0.484679,0.092364,0.720899,0.598497,0.350341,0
0.158925,0.666666,0.847526,0.527898,0.180676,0.482137,0.267873,0.756284,0.203536,0.761639,0
0.785116,0.439117,0.236672,0.402096,0.028278,0.258629,0.555402,0.101968,0.789251,0.7378,0
0.499481,0.564215,0.077646,0.386949,0.971893,0.395727,0.871853,0.127911,0.424221,0.794378,1
0.930326,0.409759,0.106124,0.239939,0.734306,0.484353,0.844615,0.640849,0.546504,0.971713,1
0.937764,0.566642,0.857072,0.985316,0.419234,0.565982,0.0978,0.307565,0.961507,0.810001,1
0.935905,0.015906,0.599768,0.880867,0.238828,0.83758,0.069986,0.122202,0.810023,0.302327,0
0.975668,0.053608,0.245133,0.331254,0.259241,0.73656,0.372202,0.652664,0.402074,0.458323,0
0.28233,0.30551,0.441673,0.636976,0.195649,0.246291,0.784273,0.600332,0.979333,0.658433,1
0.173819,0.683826,0.513992,0.592695,0.24887,0.071306,0.93802,0.828994,0.767534,0.12478,1
0.047479,0.587323,0.059767,0.715825,0.095193,0.33777,0.237258,0.403368,0.215657,0.290211,0
0.37434,0.261488,0.692963,0.6952,0.266912,0.705862,0.986002,0.82293,0.22572,0.866641,1
0.181395,0.369863,0.304885,0.688144,0.88161,0.268763,0.188549,0.0278,0.59843,0.702784,0
0.750079,0.226039,0.213028,0.537636,0.005899,0.034576,0.203516,0.204701,0.160661,0.297908,0
0.79249,0.123283,0.332282,0.783101,0.625536,0.246361,0.636552,0.493354,0.712906,0.775058,1
0.534878,0.717649,0.096685,0.612578,0.087727,0.815486,0.848632,0.313437,0.630641,0.351727,0
0.976972,0.58075,0.846966,0.12408,0.7086,0.657792,0.824989,0.660586,0.948358,0.471406,1
0.53248,0.806431,0.401362,0.968875,0.400095,0.81106,0.443109,0.389414,0.463617,0.67455,1
0.536093,0.431863,0.246624,0.867266,0.625563,0.564477,0.169046,0.253675,0.777183,0.002442,0
0.605228,0.434133,0.719934,0.455542,0.015425,0.366745,0.079981,0.70322,0.987561,0.693372,1
0.91411,0.040366,0.089505,0.701456,0.528696,0.099519,0.372396,0.864243,0.525696,0.17655,0
0.574359,0.39568,0.751642,0.172906,0.767204,0.0877,0.223179,0.590512,0.499238,0.701657,1
0.049876,0.352179,0.856384,0.936202,0.254047,0.42952,0.601861,0.445652,0.89636,0.678806,1
0.510053,0.574757,0.234997,0.70938,0.390228,0.927574,0.973447,0.206548,0.78943,0.983734,1
0.309987,0.97988,0.549427,0.244577,0.055075,0.715017,0.56365,0.820436,0.56432,0.213166,0
0.611612,0.979416,0.757067,0.53799,0.722782,0.420096,0.743776,0.275576,0.288582,0.440786,1
0.801337,0.760289,0.206995,0.256342,0.197079,0.414057,0.145629,0.517103,0.150911,0.613961,0
0.558615,0.534235,0.168734,0.410125,0.383727,0.129486,0.458016,0.182041,0.018927,0.090455,0
0.732775,0.008725,0.639851,0.508471,0.053987,0.227821,0.712885,0.999483,0.422699,0.862204,1
0.806653,0.255676,0.012781,0.536364,0.311193,0.381327,0.009003,0.286064,0.554036,0.429608,0
0.993055,0.53466,0.385119,0.566617,0.312525,0.56482,0.474566,0.646748,0.622924,0.291481,1
0.182241,0.344256,0.65265,0.153626,0.739314,0.970223,0.210473,0.244053,0.532813,0.016134,1
0.1661,0.95863,0.101118,0.418243,0.289437,0.101978,0.681048,0.951821,0.906055,0.419294,0
0.848668,0.895677,0.737873,0.909556,0.424281,0.380075,0.694803,0.573064,0.06269,0.827499,1
0.042337,0.370965,0.006929,0.913271,0.464007,0.519832,0.911537,0.518599,0.205592,0.746983,0
0.237492,0.684179,0.492843,0.560698,0.961888,0.449565,0.662963,0.457597,0.108237,0.375164,1
0.580814,0.212656,0.920312,0.170144,0.926477,0.879709,0.819257,0.914584,0.857229,0.410531,1
0.510869,0.673419,0.726055,0.289554,0.788629,0.768999,0.522376,0.40019,0.900875,0.125333,1
0.802449,0.922851,0.428336,0.475211,0.145323,0.15978,0.407862,0.057378,0.55769,0.783666,0
0.101207,0.228137,0.756197,0.552693,0.271878,0.101153,0.863,0.349094,0.648658,0.225599,0
0.36802,0.29322,0.49549,0.4542,0.91249,0.862835,0.008448,0.03514,0.944808,0.503354,1
0.602321,0.145598,0.890639,0.630197,0.188491,0.021518,0.954188,0.281525,0.670198,0.638072,1
0.530647,0.175998,0.679949,0.780866,0.48159,0.211708,0.448556,0.458554,0.214076,0.04767,0
0.917367,0.608171,0.093626,0.855302,0.803651,0.812245,0.698743,0.309935,0.243306,0.604026,1
0.713293,0.710686,0.192399,0.676439,0.263068,0.540861,0.586668,0.162851,0.765535,0.010572,0
0.932596,0.533063,0.890728,0.058503,0.803394,0.506158,0.382115,0.439147,0.33856,0.530981,1
0.40609,0.237207,0.443003,0.132577,0.272479,0.028753,0.10844,0.292876,0.223685,0.822729,0
0.833282,0.91464,0.889319,0.805635,0.037166,0.246213,0.401713,0.408337,0.314171,0.315547,1
0.211734,0.645366,0.926842,0.520635,0.180064,0.77121,0.72196,0.153481,0.160287,0.519354,0
0.431942,0.018483,0.990553,0.084731,0.595076,0.732319,0.673524,0.175081,0.066562,0.256272,0
0.292291,0.838407,0.289755,0.813293,0.915765,0.41906,0.173039,0.255312,0.140516,0.584223,0
0.883884,0.390482,0.036872,0.788599,0.304278,0.199153,0.482331,0.657174,0.968291,0.828804,1
0.836986,0.950802,0.984933,0.49518,0.524139,0.663335,0.649146,0.467603,0.01884,0.154562,1
0.937783,0.832163,0.312711,0.532854,0.577828,0.879832,0.98115,0.25666,0.760368,0.996692,1
0.424141,0.817391,0.912787,0.752933,0.316027,0.890178,0.520397,0.262108,0.741014,0.377209,1
0.347936,0.805026,0.698819,0.473317,0.407373,0.332362,0.34055,0.411486,0.900625,0.517612,1
0.784584,0.225017,0.966351,0.260092,0.352569,0.408525,0.142925,0.524994,0.818389,0.307082,1
0.370299,0.24889,0.998566,0.069701,0.549485,0.956848,0.106409,0.212119,0.376509,0.026068,0
0.778629,0.64276,0.162417,0.778028,0.243671,0.01216,0.835921,0.077197,0.482816,0.951102,1
0.908788,0.915879,0.805544,0.45881,0.928072,0.926517,0.724524,0.789042,0.764135,0.976074,1
0.710945,0.298942,0.502285,0.522336,0.015338,0.930956,0.647526,0.801455,0.704276,0.322845,0
0.075515,0.963433,0.485375,0.821392,0.447227,0.056647,0.433336,0.324826,0.122271,0.804043,0
0.061228,0.699963,0.399859,0.358311,0.063563,0.783236,0.202095,0.470515,0.455216,0.295665,0
0.804808,0.444037,0.292665,0.970393,0.687515,0.601264,0.984677,0.820845,0.838691,0.713202,1
0.484081,0.437519,0.260136,0.124553,0.678506,0.213126,0.62479,0.022632,0.078577,0.657034,0
0.013699,0.250804,0.149758,0.269778,0.922989,0.903609,0.521602,0.099939,0.657223,0.123193,0
0.506532,0.548477,0.956037,0.897713,0.3004,0.906363,0.168392,0.075765,0.400767,0.778566,1
0.350948,0.097717,0.162929,0.874213,0.047284,0.335498,0.688689,0.445694,0.089225,0.205875,0
0.750553,0.839022,0.701126,0.632947,0.11355,0.470082,0.917878,0.021325,0.413201,0.350492,1
0.214083,0.849586,0.950886,0.419457,0.007732,0.192128,0.862136,0.056358,0.207125,0.721483,0
0.052067,0.697111,0.361899,0.094758,0.149556,0.753112,0.563902,0.624013,0.310317,0.484221,0
0.752906,0.384486,0.389311,0.497078,0.311305,0.608992,0.624825,0.463873,0.306108,0.055602,0
0.405435,0.651932,0.104819,0.254514,0.154894,0.011869,0.256935,0.880476,0.348879,0.381652,0
0.503797,0.632644,0.434332,0.117541,0.851963,0.12943,0.057646,0.869699,0.150836,0.461445,0
0.898316,0.62504,0.485837,0.718634,0.77748,0.503256,0.566219,0.082013,0.110375,0.596779,1
0.019161,0.249157,0.450425,0.552199,0.404128,0.06512,0.526731,0.159771,0.966988,0.854884,0
0.428025,0.706224,0.516172,0.28192,0.38502,0.642462,0.455858,0.883376,0.07987,0.487339,0
0.949582,0.849241,0.528795,0.393698,0.491809,0.094262,0.792869,0.158616,0.134033,0.459739,1
0.015832,0.800642,0.777264,0.312273,0.084858,0.504102,0.384818,0.420439,0.072037,0.75703,0
0.003691,0.96647,0.907506,0.878716,0.259737,0.767285,0.002182,0.491738,0.749388,0.323092,1
0.515769,0.477231,0.506064,0.476305,0.357577,0.795927,0.365934,0.535862,0.556479,0.429591,0
0.725282,0.036055,0.982968,0.767082,0.395631,0.418138,0.405685,0.567157,0.100466,0.426686,0
0.801922,0.318316,0.472654,0.842541,0.528536,0.293018,0.355656,0.277261,0.774823,0.253681,1
0.183452,0.202982,0.894176,0.703825,0.957625,0.888236,0.141481,0.529668,0.257143,0.319602,1
0.512328,0.46528,0.965379,0.853908,0.013591,0.306904,0.262481,0.512135,0.163428,0.413167,0
0.23624,0.601847,0.048589,0.639647,0.195553,0.984286,0.660261,0.249919,0.812107,0.945144,0
0.824752,0.485438,0.8713,0.170195,0.614894,0.969765,0.27593,0.665287,0.756623,0.683858,1
0.689776,0.741654,0.695808,0.731073,0.589116,0.531849,0.118088,0.196805,0.501289,0.483563,1
0.78298,0.183088,0.575548,0.241838,0.884387,0.7525,0.044692,0.806533,0.251854,0.429737,1
0.29367,0.591461,0.118262,0.161907,0.501477,0.621706,0.457173,0.41466,0.454012,0.481502,0
0.42179,0.247209,0.632802,0.408538,0.787617,0.692176,0.433939,0.100414,0.372541,0.335849,0
0.371594,0.035477,0.744779,0.546851,0.126992,0.341016,0.774739,0.341993,0.997323,0.485002,0
0.441475,0.295442,0.115065,0.711493,0.207036,0.686474,0.426761,0.647981,0.216199,0.719735,0
0.937724,0.229609,0.472936,0.317574,0.032026,0.147678,0.693006,0.218579,0.787842,0.578876,0
0.842394,0.736618,0.486745,0.779763,0.636993,0.999351,0.008679,0.098442,0.870787,0.009029,1
0.27095,0.523115,0.351031,0.619353,0.205239,0.593152,0.712725,0.732046,0.00577,0.201074,0
0.677227,0.151973,0.37185,0.585022,0.204135,0.814179,0.189963,0.852023,0.714452,0.301693,0
0.157404,0.533347,0.083946,0.427613,0.477569,0.381829,0.303215,0.049859,0.029915,0.9335,0
0.64092,0.479875,0.77727,0.461739,0.655653,0.441006,0.327318,0.903341,0.272872,0.291571,1
0.837565,0.49984,0.324274,0.540227,0.693293,0.626429,0.770171,0.711172,0.451796,0.554127,1
0.37019,0.993885,0.135424,0.140892,0.499444,0.227939,0.550705,0.247238,0.131231,0.621393,0
0.248603,0.56437,0.548326,0.82209,0.534856,0.518311,0.687062,0.055159,0.185331,0.900061,1
0.137107,0.874601,0.891216,0.145558,0.157328,0.609718,0.875897,0.568627,0.318199,0.465935,0
0.499239,0.291192,0.324844,0.128898,0.270442,0.675197,0.987039,0.025333,0.412149,0.264844,0
0.712994,0.499279,0.540711,0.419063,0.954384,0.237658,0.778685,0.618517,0.47785,0.819446,1
0.888505,0.768245,0.713637,0.069794,0.420984,0.899897,0.22225,0.696602,0.969121,0.410215,1
0.964566,0.488703,0.838231,0.595431,0.460498,0.134776,0.959595,0.116078,0.499767,0.205348,1
0.838657,0.5246,0.304641,0.582993,0.871073,0.522165,0.210305,0.654172,0.753985,0.384084,1
0.685881,0.059243,0.926902,0.644397,0.117629,0.090184,0.372116,0.259092,0.61207,0.905991,1
0.185225,0.31743,0.369843,0.890981,0.886306,0.488744,0.429397,0.138384,0.688528,0.320713,1
0.026089,0.50231,0.064732,0.417564,0.017944,0.501963,0.5036,0.442286,0.078018,0.061328,0
0.604746,0.435835,0.76772,0.015535,0.880257,0.79773,0.392098,0.43159,0.550181,0.171132,1
0.949729,0.2482,0.360139,0.748863,0.980991,0.973528,0.363619,0.71637,0.942385,0.264942,1
0.98597,0.438376,0.550808,0.707659,0.301578,0.173345,0.542793,0.373504,0.547456,0.83358,1
0.566049,0.233282,0.990825,0.503455,0.846051,0.713059,0.674151,0.933573,0.914015,0.423041,1
0.107959,0.382505,0.792031,0.470564,0.311699,0.2735,0.376818,0.768317,0.279535,0.683933,0
0.035913,0.367002,0.047904,0.278785,0.829542,0.148312,0.690684,0.653532,0.657735,0.3878,0
0.5952,0.360269,0.496774,0.708723,0.794041,0.489616,0.783911,0.205215,0.764782,0.850486,0
0.555559,0.14872,0.76025,0.215546,0.374323,0.79197,0.781479,0.383627,0.010926,0.15363,0
0.213961,0.065898,0.809488,0.853538,0.89636,0.107358,0.560123,0.915759,0.547775,0.338483,1
0.618988,0.696076,0.045836,0.622733,0.662373,0.838861,0.018758,0.929536,0.993214,0.558289,1
0.766146,0.773934,0.181718,0.323815,0.650303,0.366337,0.517956,0.495626,0.672628,0.936946,1
0.165141,0.070591,0.288186,0.329518,0.695897,0.981337,0.302412,0.785698,0.794451,0.476883,0
0.158933,0.385346,0.040923,0.151374,0.050112,0.701538,0.233353,0.930157,0.136609,0.679901,0
0.159137,0.198472,0.924302,0.9889,0.942636,0.650145,0.952825,0.024563,0.105855,0.374166,1
0.384724,0.534129,0.505783,0.11016,0.290804,0.131112,0.701235,0.485521,0.57887,0.979199,0
0.772483,0.432975,0.880175,0.037479,0.153982,0.154123,0.830088,0.892535,0.398131,0.899455,1
0.76228,0.365865,0.225675,0.849193,0.072561,0.633047,0.701391,0.809565,0.603065,0.686798,1
0.296091,0.858917,0.422403,0.897648,0.311471,0.754314,0.214968,0.806112,0.791774,0.50129,1
0.664305,0.776974,0.793005,0.26071,0.0513,0.232755,0.598468,0.474766,0.640081,0.617605,1
0.719515,0.441605,0.477687,0.950165,0.246963,0.489108,0.321735,0.102245,0.548621,0.009581,0
0.308803,0.210197,0.872465,0.576835,0.656728,0.007326,0.380072,0.183366,0.410171,0.103431,0
0.064651,0.635058,0.571203,0.13563,0.370171,0.911857,0.100749,0.342882,0.526947,0.907617,0
0.912948,0.656444,0.118359,0.23981,0.781228,0.949475,0.664152,0.731838,0.296728,0.135106,0
0.893341,0.8233,0.961824,0.013739,0.976546,0.827364,0.172671,0.237075,0.068815,0.892587,1
0.41244,0.230466,0.688876,0.737902,0.860544,0.571463,0.041244,0.435041,0.672569,0.560712,1
0.284231,0.130844,0.315797,0.142258,0.698385,0.557464,0.356341,0.029206,0.158615,0.021053,0
0.021624,0.529869,0.215675,0.444165,0.886978,0.759471,0.740918,0.173798,0.971922,0.6678,1
0.159692,0.53355,0.916356,0.578119,0.998637,0.338718,0.395679,0.134622,0.533373,0.646711,1
0.557468,0.212524,0.121176,0.187595,0.10619,0.002291,0.179168,0.23363,0.046936,0.607501,0
0.350755,0.579537,0.307468,0.667504,0.933419,0.689442,0.541208,0.682256,0.012791,0.795143,1
0.75263,0.642075,0.289272,0.272263,0.909992,0.05152,0.330336,0.124677,0.728119,0.386879,1
0.725396,0.314906,0.814803,0.518775,0.265782,0.182852,0.529617,0.66731,0.221481,0.06961,0
0.740596,0.657652,0.054364,0.932826,0.532062,0.95763,0.121415,0.137776,0.087127,0.227728,0
0.129021,0.545142,0.272513,0.251875,0.986638,0.154093,0.957714,0.517373,0.215565,0.550367,0
0.681797,0.171314,0.967197,0.564508,0.035309,0.447856,0.637922,0.320567,0.413129,0.677174,0
0.647992,0.367031,0.753459,0.32272,0.272827,0.749138,0.839628,0.845967,0.21584,0.016648,0
0.708671,0.331647,0.684266,0.329052,0.124701,0.745483,0.000561,0.218507,0.517741,0.9667,0
0.707079,0.916073,0.193422,0.635126,0.317731,0.112744,0.33941,0.993807,0.651884,0.686354,1
0.266264,0.907318,0.892737,0.049151,0.075552,0.200136,0.384136,0.283845,0.507442,0.307273,0
0.945931,0.601136,0.603271,0.401991,0.534057,0.802417,0.903498,0.047151,0.294688,0.206427,1
0.701756,0.630407,0.379154,0.34302,0.504331,0.826371,0.039889,0.522864,0.357368,0.431605,0
0.431436,0.273663,0.460955,0.599648,0.626046,0.019146,0.693839,0.45381,0.20521,0.931585,1
0.971501,0.832832,0.053423,0.195743,0.468546,0.901504,0.006956,0.236761,0.40927,0.149645,0
0.091934,0.007237,0.798186,0.594167,0.530438,0.448907,0.804742,0.13141,0.155284,0.367224,0
0.370129,0.444012,0.99776,0.139095,0.027647,0.818085,0.786986,0.670207,0.644028,0.666528,1
0.892837,0.570683,0.17225,0.99765,0.350454,0.318773,0.993556,0.252432,0.734932,0.712262,1
0.696934,0.474658,0.893019,0.738141,0.663654,0.13373,0.859134,0.866263,0.261915,0.166446,1
0.094926,0.562039,0.916055,0.849536,0.069686,0.267037,0.872668,0.290945,0.492626,0.579877,1
0.636291,0.467853,0.623758,0.529026,0.005325,0.219998,0.953526,0.936525,0.680401,0.731432,1
0.377132,0.251286,0.860463,0.798159,0.995166,0.309072,0.80066,0.693551,0.655643,0.48072,1
0.88893,0.07877,0.542051,0.083244,0.952587,0.638147,0.32456,0.487276,0.639943,0.127654,0
0.892554,0.84845,0.740439,0.488298,0.799713,0.222449,0.223193,0.88018,0.536274,0.478358,1
0.719354,0.269755,0.013669,0.701051,0.309242,0.715653,0.387697,0.839286,0.225178,0.737379,0
0.734194,0.483875,0.145525,0.920542,0.518648,0.171008,0.395479,0.549569,0.983354,0.44638,1
0.723082,0.44624,0.136189,0.869445,0.324858,0.162587,0.443169,0.480727,0.466332,0.872889,1
0.386651,0.144619,0.617591,0.138743,0.507646,0.104559,0.261384,0.241543,0.82101,0.618667,0
0.329241,0.876125,0.235822,0.113902,0.465688,0.647731,0.417651,0.486352,0.909463,0.606893,0
0.650095,0.062156,0.093468,0.395645,0.836276,0.097285,0.559174,0.247866,0.308464,0.098478,1
0.574614,0.642732,0.169362,0.080433,0.296213,0.293706,0.642627,0.305506,0.432166,0.866782,0
0.158132,0.17108,0.642668,0.538613,0.821928,0.183995,0.807668,0.641298,0.233657,0.81985,1
0.171875,0.188002,0.002415,0.50479,0.495896,0.088573,0.360006,0.797199,0.353396,0.938694,0
0.933701,0.757172,0.463359,0.013826,0.894576,0.70143,0.832841,0.956538,0.343764,0.199863,1
0.676434,0.764013,0.149761,0.355285,0.870286,0.335123,0.527579,0.900102,0.933628,0.329957,1
0.695625,0.958961,0.522655,0.79692,0.014121,0.595875,0.604426,0.876546,0.738748,0.617849,1
0.384135,0.179488,0.064888,0.617656,0.273997,0.852301,0.386851,0.143168,0.998231,0.560164,0
0.648606,0.474429,0.506249,0.08107,0.775877,0.494438,0.842336,0.795089,0.477987,0.564947,0
0.388743,0.503435,0.491927,0.464917,0.849399,0.636473,0.373515,0.900053,0.127924,0.353678,0
0.863765,0.420437,0.87074,0.472263,0.769905,0.603324,0.648093,0.904566,0.639804,0.153584,1
0.338582,0.566413,0.754728,0.508968,0.025048,0.811181,0.187878,0.985697,0.552888,0.648725,1
0.73477,0.485242,0.559627,0.210033,0.88695,0.161984,0.138365,0.232666,0.141399,0.912424,1
0.872283,0.42454,0.586912,0.347813,0.609811,0.71698,0.012358,0.801409,0.140473,0.125945,0
0.322429,0.164453,0.187855,0.926224,0.065336,0.388779,0.074178,0.979457,0.780879,0.841043,0
0.423045,0.46215,0.30749,0.133041,0.782082,0.989211,0.951166,0.717453,0.181532,0.694929,0
0.171474,0.260222,0.353744,0.22227,0.473658,0.665252,0.95549,0.417098,0.759633,0.404661,0
0.169226,0.592951,0.345028,0.614541,0.199937,0.059376,0.180677,0.998302,0.730097,0.710281,0
0.687276,0.906465,0.881795,0.856736,0.644798,0.35754,0.19856,0.258562,0.734588,0.029344,1
